Factory,Job Role,Equality Score
Daikibo Factory Meiyo,C-Level,-25
Daikibo Factory Meiyo,VP,-26
Daikibo Factory Meiyo,Director,-19
Daikibo Factory Meiyo,Sr. Manager,-15
Daikibo Factory Meiyo,Manager,-14
Daikibo Factory Meiyo,Jr. Manager,-20
Daikibo Factory Meiyo,Sr. Engineer,-5
Daikibo Factory Meiyo,Engineer,-8
Daikibo Factory Meiyo,Jr. Engineer,3
Daikibo Factory Meiyo,Operational Support,-22
Daikibo Factory Meiyo,Machine Operator,-7
Daikibo Factory Seiko,VP,-19
Daikibo Factory Seiko,Director,-10
Daikibo Factory Seiko,Sr. Manager,-21
Daikibo Factory Seiko,Manager,-21
Daikibo Factory Seiko,Jr. Manager,-24
Daikibo Factory Seiko,Sr. Engineer,-4
Daikibo Factory Seiko,Engineer,-7
Daikibo Factory Seiko,Jr. Engineer,4
Daikibo Factory Seiko,Operational Support,-19
Daikibo Factory Seiko,Machine Operator,-5
Daikibo Berlin,Sr. Manager,-15
Daikibo Berlin,Manager,-16
Daikibo Berlin,Jr. Manager,-17
Daikibo Berlin,Sr. Engineer,4
Daikibo Berlin,Engineer,2
Daikibo Berlin,Jr. Engineer,4
Daikibo Berlin,Operational Support,0
Daikibo Berlin,Machine Operator,-6
Daikibo Shenzhen,Sr. Manager,-21
Daikibo Shenzhen,Manager,-19
Daikibo Shenzhen,Jr. Manager,-20
Daikibo Shenzhen,Sr. Engineer,-5
Daikibo Shenzhen,Engineer,-4
Daikibo Shenzhen,Jr. Engineer,3
Daikibo Shenzhen,Operational Support,-7
Daikibo Shenzhen,Machine Operator,-7
